year,date,portfolio_return,gross_return,spy_return,excess_return,position_scale,vol_scale,kelly_scale,risk_off_scale,transaction_cost
2022,2022-05-31,-0.06938861237093728,-0.06938861237093728,-0.06519457595132984,-0.004194036419607444,1.0,1.0,1.0,1.0,0.0024666666666666665
2022,2022-06-30,0.07133250622504657,0.07133250622504657,0.07745785498180731,-0.00612534875676074,1.0,1.0,1.0,1.0,0.0023166666666666665
2022,2022-07-29,-0.006951427234012838,-0.006951427234012838,-0.03493437290319451,0.02798294566918167,1.0,1.0,1.0,1.0,0.0022500000000000003
2022,2022-08-31,-0.047618172518349405,-0.047618172518349405,-0.071399080366745,0.023780907848395594,1.0,1.0,1.0,1.0,0.0023666666666666667
2022,2022-09-30,0.07184621702708563,0.07184621702708563,0.0488528127094458,0.022993404317639826,1.0,1.0,1.0,1.0,0.0027166666666666667
2022,2022-10-31,0.04987177661917573,0.04987177661917573,0.059451009488959705,-0.009579232869783974,1.0,1.0,1.0,1.0,0.0029000000000000002
2022,2022-11-30,-0.06430376687285262,-0.06430376687285262,-0.0609046925041033,-0.0033990743687493247,1.0,1.0,1.0,1.0,0.00235
2023,2023-01-31,-0.06950360397917386,-0.06950360397917386,-0.0390943293061337,-0.030409274673040165,1.0,1.0,1.0,1.0,0.0025
2023,2023-02-28,-0.008122166217613663,-0.008122166217613663,0.0450381719177695,-0.053160338135383164,1.0,1.0,1.0,1.0,0.0024333333333333334
2023,2023-03-31,-0.00045210691839395927,-0.00045210691839395927,0.01109635621168051,-0.011548463130074469,1.0,1.0,1.0,1.0,0.0024333333333333334
2023,2023-04-28,-0.05574362361268217,-0.05574362361268217,0.015186066193836204,-0.07092968980651837,1.0,1.0,1.0,1.0,0.00235
2023,2023-05-31,0.08541662092098598,0.08541662092098598,0.05599188751969811,0.029424733401287873,1.0,1.0,1.0,1.0,0.00255
2023,2023-06-30,0.05990336450754028,0.05990336450754028,0.0285946705485144,0.031308693959025885,1.0,1.0,1.0,1.0,0.0024000000000000002
2023,2023-07-31,-0.056784790915154586,-0.056784790915154586,-0.011588767808603602,-0.045196023106550985,1.0,1.0,1.0,1.0,0.0024333333333333334
2023,2023-08-31,-0.08492739415735633,-0.08492739415735633,-0.04958596833664985,-0.03534142582070648,1.0,1.0,1.0,1.0,0.0023666666666666667
2023,2023-09-29,-0.020554499586303305,-0.020554499586303305,-0.010881995349956609,-0.009672504236346696,1.0,1.0,1.0,1.0,0.002416666666666667
